policy,mean,std,count,sigma,impurity,num_dim,stdb
default,0.9209599999999882,0.000523978008081403,1000,0.3,-0.84,2,0.2
augment,0.922519999999989,0.0006391072351789327,1000,0.3,-0.84,2,0.2
average,0.9231999999999931,0.0009313578406968072,1000,0.3,-0.84,2,0.2
ensemble,0.9211999999999873,0.0004063559094256199,1000,0.3,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.5,-0.84,2,0.2
default,0.9171999999999871,0.0005415286264393183,1000,0.5,-0.84,2,0.2
augment,0.9192799999999854,0.00031934868652240507,1000,0.5,-0.84,2,0.2
average,0.9067999999999902,0.0011634059968529886,1000,0.5,-0.84,2,0.2
ensemble,0.9198399999999856,0.0002713817386045854,1000,0.5,-0.84,2,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,1.0,-0.84,2,0.2
default,0.9134799999999859,0.0007968215135929253,1000,1.0,-0.84,2,0.2
augment,0.9196399999999849,0.00013224177814854176,1000,1.0,-0.84,2,0.2
average,0.8917199999999895,0.001767757496538086,1000,1.0,-0.84,2,0.2
ensemble,0.9186799999999852,0.0003532454987432782,1000,1.0,-0.84,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.76,2,0.2
augment,1.0,0.0,1000,0.0,-0.76,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.76,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.76,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,2,0.2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,2,0.2
augment,0.8813199999999957,0.00022607235281809452,1000,0.025,-0.76,2,0.2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,2,0.2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.05,-0.76,2,0.2
default,0.8820399999999955,0.0002784168025028609,1000,0.05,-0.76,2,0.2
augment,0.9160399999999862,0.0004104715421157596,1000,0.05,-0.76,2,0.2
average,0.8820799999999955,0.00028098496855268366,1000,0.05,-0.76,2,0.2
ensemble,0.8811599999999956,0.0002123664274302766,1000,0.05,-0.76,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.08,-0.76,2,0.2
default,0.890959999999993,0.0005867048854599955,1000,0.08,-0.76,2,0.2
augment,0.922399999999992,0.0007660462302151402,1000,0.08,-0.76,2,0.2
average,0.8948399999999918,0.0006268710931023712,1000,0.08,-0.76,2,0.2
ensemble,0.8900399999999931,0.000554532150470925,1000,0.08,-0.76,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.1,-0.76,2,0.2
default,0.8837999999999951,0.0004080766184511562,1000,0.1,-0.76,2,0.2
augment,0.8997999999999938,0.0009282357575646482,1000,0.1,-0.76,2,0.2
average,0.8853999999999947,0.0004646029012563925,1000,0.1,-0.76,2,0.2
ensemble,0.8824399999999953,0.0003132802970895979,1000,0.1,-0.76,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.3,-0.76,2,0.2
default,0.8808399999999955,0.0006891802154512019,1000,0.3,-0.76,2,0.2
augment,0.8831999999999955,0.0006472858556920482,1000,0.3,-0.76,2,0.2
average,0.8812399999999948,0.0011529925376132307,1000,0.3,-0.76,2,0.2
ensemble,0.8819999999999957,0.0005085849571690605,1000,0.3,-0.76,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.5,-0.76,2,0.2
default,0.8760399999999963,0.0006968529285322769,1000,0.5,-0.76,2,0.2
augment,0.8797999999999957,0.0002433499932591302,1000,0.5,-0.76,2,0.2
average,0.8615599999999972,0.0014185833704011882,1000,0.5,-0.76,2,0.2
ensemble,0.8786799999999958,0.00040002202141583914,1000,0.5,-0.76,2,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,1.0,-0.76,2,0.2
default,0.8703599999999962,0.0010020351662863294,1000,1.0,-0.76,2,0.2
augment,0.879719999999996,0.00016476877358513302,1000,1.0,-0.76,2,0.2
average,0.8470799999999971,0.0018641213878255172,1000,1.0,-0.76,2,0.2
ensemble,0.8783199999999963,0.00038435052403415493,1000,1.0,-0.76,2,0.2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.68,2,0.2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.68,2,0.2
augment,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,2,0.2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.68,2,0.2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.68,2,0.2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.025,-0.68,2,0.2
default,0.8795199999999961,0.00013779908776399144,1000,0.025,-0.68,2,0.2
augment,0.9114799999999929,0.0008782829731817466,1000,0.025,-0.68,2,0.2
average,0.8797199999999961,0.00010551176584975201,1000,0.025,-0.68,2,0.2
ensemble,0.8796799999999961,0.00011274001202017947,1000,0.025,-0.68,2,0.2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.05,-0.68,2,0.2
default,0.9207599999999908,0.0006559364699821597,1000,0.05,-0.68,2,0.2
augment,0.9470000000000035,0.0006165875284014297,1000,0.05,-0.68,2,0.2
average,0.9229999999999903,0.000592748978363819,1000,0.05,-0.68,2,0.2
ensemble,0.9205999999999895,0.0005973246996373004,1000,0.05,-0.68,2,0.2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.08,-0.68,2,0.2
default,0.8958399999999968,0.0012497424759750552,1000,0.08,-0.68,2,0.2
augment,0.9497200000000002,0.0011824211262150652,1000,0.08,-0.68,2,0.2
average,0.9086799999999954,0.001222355002342507,1000,0.08,-0.68,2,0.2
ensemble,0.8965199999999963,0.0011847756299372856,1000,0.08,-0.68,2,0.2
