policy,mean,std,count,sigma,impurity,num_dim,stdb
ensemble,0.7961999999999895,0.0006908235934283304,1000,1.0,-0.6,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.0,-0.52,2,0.2
default,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.52,2,0.2
augment,1.0,0.0,1000,0.0,-0.52,2,0.2
average,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.52,2,0.2
ensemble,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.025,-0.52,2,0.2
default,0.8743199999999975,0.00044173830797513563,1000,0.025,-0.52,2,0.2
augment,0.9076399999999929,0.0008447153034862912,1000,0.025,-0.52,2,0.2
average,0.8752799999999975,0.0004121789556630597,1000,0.025,-0.52,2,0.2
ensemble,0.8746799999999975,0.00043345759364151176,1000,0.025,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.05,-0.52,2,0.2
default,0.9462799999999977,0.0008834829608668908,1000,0.05,-0.52,2,0.2
augment,0.960120000000001,0.0009393977155965769,1000,0.05,-0.52,2,0.2
average,0.9483199999999982,0.0008664458023029059,1000,0.05,-0.52,2,0.2
ensemble,0.9460399999999975,0.0008557164545868219,1000,0.05,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.08,-0.52,2,0.2
default,0.9145599999999989,0.0014326405197602281,1000,0.08,-0.52,2,0.2
augment,0.9466399999999996,0.0012402615242958488,1000,0.08,-0.52,2,0.2
average,0.92468,0.0013268979833650693,1000,0.08,-0.52,2,0.2
ensemble,0.9139599999999986,0.001376013012951485,1000,0.08,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.1,-0.52,2,0.2
default,0.8436799999999963,0.0016005684675825154,1000,0.1,-0.52,2,0.2
augment,0.870479999999996,0.0016400180667478146,1000,0.1,-0.52,2,0.2
average,0.8582799999999963,0.001550046529702979,1000,0.1,-0.52,2,0.2
ensemble,0.8447199999999961,0.0015312956822463942,1000,0.1,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.3,-0.52,2,0.2
default,0.7594399999999976,0.001580564641064892,1000,0.3,-0.52,2,0.2
augment,0.7643599999999978,0.0016320704807250368,1000,0.3,-0.52,2,0.2
