policy,mean,std,count,sigma,impurity,num_dim
plurality,0.8799999999999959,1.2996583750995055e-16,1000,1.0,-0.76,2
default,0.8709999999999962,0.001020608466377612,1000,1.0,-0.76,2
augment,0.8797999999999961,8.926347499379541e-05,1000,1.0,-0.76,2
average,0.8512399999999964,0.0017816949337181379,1000,1.0,-0.76,2
ensemble,0.8791599999999961,0.00022835618350845302,1000,1.0,-0.76,2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,1.5,-0.76,2
default,0.8699599999999965,0.001069365205129632,1000,1.5,-0.76,2
augment,0.8794799999999957,0.00019122281811061593,1000,1.5,-0.76,2
average,0.8417599999999968,0.0020956369184794614,1000,1.5,-0.76,2
ensemble,0.8783199999999963,0.00034013716835020515,1000,1.5,-0.76,2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,2.0,-0.76,2
default,0.8715999999999959,0.0009333333333333286,1000,2.0,-0.76,2
augment,0.8798799999999959,0.00010581491764773463,1000,2.0,-0.76,2
average,0.8393999999999969,0.002208283613242761,1000,2.0,-0.76,2
ensemble,0.878759999999996,0.0003100944349042014,1000,2.0,-0.76,2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.68,2
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,2
augment,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,2
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.2,-0.68,2
default,0.8571600000000007,0.001038177351039897,1000,0.2,-0.68,2
augment,0.866959999999998,0.001286706654219999,1000,0.2,-0.68,2
average,0.8698399999999971,0.0013894981486511904,1000,0.2,-0.68,2
ensemble,0.8584400000000004,0.0010112314220735938,1000,0.2,-0.68,2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.5,-0.68,2
default,0.8345600000000023,0.0011287517355381858,1000,0.5,-0.68,2
augment,0.8397200000000036,0.0007169627853910094,1000,0.5,-0.68,2
average,0.8144799999999979,0.0018792182047492683,1000,0.5,-0.68,2
ensemble,0.8394400000000026,0.0007420492147001049,1000,0.5,-0.68,2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,1.0,-0.68,2
default,0.8275200000000025,0.0012697487396575253,1000,1.0,-0.68,2
augment,0.8392400000000048,0.00027910625270728267,1000,1.0,-0.68,2
average,0.8004799999999997,0.002099375377815264,1000,1.0,-0.68,2
ensemble,0.8375200000000048,0.00048382195452840776,1000,1.0,-0.68,2
plurality,0.8400000000000056,1.7914210035155348e-16,1000,1.5,-0.68,2
default,0.828520000000003,0.0010668400759944014,1000,1.5,-0.68,2
