time,P1,P2,P3,P4,P5,P6,P7,P8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.04254511783262397,0.008386397596088686,0.004396558061189862,0.32041764137527146,0.0069570600896246785,0.036151305275176515,0.8731020635318859,0.3745428408882074
20.0,0.13107493372237766,0.03239568263013667,0.01232131849308879,0.8703585267343745,0.019487865192544786,0.4895589251180621,2.3554136379920285,1.0245348391636977
30.0,0.2665038867495525,0.08099091860749735,0.04629956758112829,1.3180474168763756,0.056369981457575255,1.3475593342881016,3.5061891130915646,1.5338127326599496
40.0,0.5103324470179281,0.16876707048618217,0.2720773451591004,1.6824930959796771,0.22126310967961027,2.194011542623528,4.352590305708691,1.9211989443585376
50.0,0.8929062803598202,0.3010081739353005,0.8315528568153372,1.9789011764187172,0.5898607062719557,2.919734327404663,4.942544740708407,2.213296396585333
60.0,1.3962906251967593,0.4741369583366222,1.6114842760587362,2.2129139811130103,1.1014704260382135,3.5014528380918217,5.333597820944664,2.4313049516655485
70.0,1.9647778556610545,0.6754321734352337,2.418088086198096,2.353259871604401,1.644814620250736,3.8282607567622504,5.580692598788382,2.5884714193537732
80.0,2.5064262369401584,0.8766624912097857,3.137926480658304,2.3434190149676026,2.132803205011392,3.786008419574081,5.730720021191824,2.6939726987518027
90.0,2.914299984028703,1.0401986402616614,3.710300161035388,2.1924445967290693,2.50874296979935,3.475498524611627,5.820593055326821,2.758516496608468
100.0,3.123600716572785,1.143251982191722,4.098727561964367,1.9766489891370813,2.7453981169160415,3.092257055897101,5.876151460405451,2.796196866687341
110.0,3.1416076238218085,1.1875528034617182,4.285611044653159,1.7601378084571921,2.8411902352611893,2.737606967081365,5.912448546713217,2.8213636870047343
120.0,3.023983315734559,1.1879919505332173,4.283118522916226,1.5753909159117774,2.816590819691802,2.448903999290186,5.936065327647916,2.844860254090417
130.0,2.8348364943413435,1.1611511776972399,4.139201342203593,1.4377555435845255,2.708766970410157,2.244814052742147,5.948434064132527,2.8727746502504172
140.0,2.6231353795848156,1.120512914754776,3.9238061555422994,1.3543205478182223,2.5619260057642808,2.1398689091439635,5.948760687275564,2.907312609494535
150.0,2.419237702909093,1.075774485049004,3.7084271472898016,1.324734578129249,2.4185295326891003,2.144072611861208,5.935894018730861,2.9483295911852765
160.0,2.2399652597325974,1.033477587681731,3.555825284439554,1.3384003826673512,2.3152605469557,2.2560048893698945,5.909212559796227,2.994594749507443
170.0,2.0930450338817206,0.9974387960331084,3.515341781700536,1.3736743683492127,2.2807035299476155,2.457936771249828,5.8688745928788535,3.0445748792896334
180.0,1.9780035823343516,0.9685381429696983,3.6119147742134388,1.4025970091460649,2.330408997392736,2.7201959802103994,5.81573595843301,3.0968865111938038
190.0,1.8855796070339046,0.9444575580490763,3.8361349958815962,1.4000531252149346,2.4623916941222697,3.0130842790933743,5.751107154688942,3.1505983838749163
200.0,1.8004588407374937,0.9205547690836156,4.152250397356256,1.3531270546862628,2.659963540426149,3.31723547992468,5.676435773314976,3.2054170709291134
210.0,1.7088996990992726,0.8921853870951,4.518532559465395,1.2647890667343344,2.9007097796786416,3.6254220351293744,5.592998916141559,3.2616441176226942
220.0,1.6056487275090356,0.8569726029795093,4.901166955221398,1.1489341295445585,3.1639519804843674,3.936279901759186,5.501722298126356,3.3198611033076153
230.0,1.4941543451254389,0.8153359755217161,5.277041853763674,1.021600814206089,3.433350296469193,4.2466080491322735,5.403196212700806,3.380538655212183
240.0,1.3816417896444975,0.7694232656493664,5.631757480983766,0.895205512365618,3.696776645516237,4.548783650782394,5.297836132823163,3.4438292005995628
250.0,1.274538258245951,0.7217611128243221,5.957313817998135,0.7772485721582842,3.94579342751515,4.833486774985492,5.186061271941383,3.509595238993482
260.0,1.1767207283445442,0.6744495382875989,6.250283681065581,0.6713139507527719,4.175218702498661,5.093310958315283,5.068399805453268,3.5775438414615914
270.0,1.0897458055433966,0.628925816506091,6.510293745848829,0.5784800427652418,4.3825464653564685,5.324289038658209,4.945512810302506,3.6473433269172872
280.0,1.0136740549874277,0.5860322734058236,6.738806655807086,0.49842312145140616,4.567227606972647,5.525518694879535,4.818167717982701,3.7186838422417012
290.0,0.9477883953798205,0.5461760411082042,6.938247637246301,0.43012716209459934,4.729983008937243,5.6981076299291695,4.687196028165634,3.7912935449679646
300.0,0.8910521898505508,0.5094802563923769,7.111441680875055,0.37229805019721257,4.8722629911167,5.844205026215975,4.5534561819295645,3.864931867029872
310.0,0.8423579985845541,0.47589723582166715,7.2612801982046475,0.3235897464305366,4.995872177604947,5.966334825356757,4.417803170209367,3.939376813704377
320.0,0.8006469350484613,0.44528432348788644,7.390537355843957,0.28271995136236283,5.102728631516107,6.066998021181656,4.281070990958178,4.014411686503204
330.0,0.7649579521066153,0.41745151810666,7.50177738904426,0.24852327568715532,5.19471862992805,6.148456357402905,4.144059809515228,4.089816007989283
340.0,0.7344418894104182,0.3921900186860197,7.597315596438126,0.2199699932522308,5.273614647074052,6.21262544299178,4.0075294458394035,4.165359623151128
350.0,0.708359217167,0.3692886537051888,7.679209660037469,0.19616651950151082,5.341033424227685,6.261028681772065,3.872193551430551,4.240800858376973
360.0,0.6860711588265391,0.34854300911640135,7.749266828080991,0.17634694925937472,5.3984179049692225,6.294783146543605,3.738714628307381,4.315887568082205
370.0,0.667028480480108,0.32976009363607073,7.809059394260133,0.15986050583854675,5.447033520369476,6.314604446134408,3.6077025734273036,4.3903591027161415
380.0,0.6507600195618655,0.31276032282052296,7.859944051793265,0.1461575071174321,5.487972845210924,6.320821268418611,3.479706907799555,4.463952184049195
390.0,0.6368624742124103,0.297378330938112,7.903079997682158,0.13477622903147884,5.522162325725866,6.313401248926678,3.3552190014651013,4.536404123150188
400.0,0.624990757457568,0.28346264259259846,7.939447538813381,0.1253300600486794,5.55037173851488,6.291986780269814,3.23466450507972,4.6074601496881264
410.0,0.6148498256952086,0.2708750949449026,7.969863173168437,0.11749641796648888,5.573221847932372,6.255948091083913,3.118403674812431,4.676878231068515
420.0,0.6061875044329936,0.25948999503771486,7.994992273829993,0.11100693493411387,5.591190927938603,6.204456630512727,3.006730961711379,4.744434041250358
430.0,0.5987882899733581,0.24919318654040773,8.015357194290827,0.10563901405628096,5.6046177079002,6.1365809684326615,2.8998747821246282,4.809925631874917
440.0,0.5924680436064463,0.2398811177086198,8.03134175055353,0.1012086669057126,5.613701668535348,6.0514082401466895,2.798000322407475,4.8731765330690555
450.0,0.5870694585578976,0.23145994716702767,8.043190994201543,0.09756453791872291,5.618499957196677,5.948182066298743,2.7012118624897337,4.934038397241723
460.0,0.5824581627944851,0.223844688803969,8.051003670302363,0.09458296783383277,5.6189185815212515,5.826448143862616,2.609557063666946,4.992392342059655
470.0,0.5785193541318279,0.21695838827259967,8.054717771467125,0.09216389579391648,5.614699272857943,5.6861934021126,2.5230324388101524,5.0481490863820335
480.0,0.5751549752312759,0.21073140353234462,8.054086359750682,0.09022774484399296,5.605400781588538,5.5279521110571865,2.4415884890262745,5.101248543061835
490.0,0.5722812547181844,0.2051007062713264,8.048641471388368,0.08871305392185681,5.590374707885026,5.352865235763654,2.365135465571826,5.151658553771497
500.0,0.5698266413372145,0.20000928297015194,8.037643409757836,0.08757486731686208,5.568736673410291,5.162679880772878,2.293549894304072,5.199372730407722
510.0,0.567730020537124,0.1954055631516982,8.020013028300012,0.086783990395109,5.539335263319494,4.959684563619134,2.226680205493083,5.244408180470372
